source,target,weight
lemon,armagnac,6
lemon,phyllo shell,4
lemon,muesli,4
lemon,seitan,13
lemon,pak choi,4
lemon,stuffing,9
lemon,longan,1
lemon,ranch,1
lemon,soy protein,2
lemon,hash brown,6
lemon,rotel,6
lemon,bocconcini,14
lemon,tart shell,1
lemon,aioli,7
lemon,tomatillo,2
lemon,dolcelatte,2
lemon,hummus,1
lemon,eau de vie,1
lemon,peep,1
lemon,vegemite,6
lemon,pisco,4
lemon,fleur sel,12
lemon,perch,8
lemon,tripe,3
lemon,mahleb,1
lemon,petal,1
lemon,chicory,2
lemon,lardon,1
lemon,brisee,1
lemon,scungilli,2
lemon,chermoula,1
lemon,mizuna,3
lemon,salsify,2
lemon,boudoir biscuit,1
lemon,pastis,4
lemon,filet sea bass,1
lemon,smelt,3
lemon,picante,1
lemon,mortadella,7
lemon,provence,1
lemon,jujube,1
lemon,demi glace,1
lemon,sazon goya con culantro y achiote,1
lemon,mirepoix,2
lemon,vegan parmesan,1
lemon,lavender rub,1
lemon,carob chip,1
lemon,marinade,1
lemon,crepe,2
lemon,besan,2
lemon,irish moss,1
lemon,alfalfa,4
lemon,prickly,1
lemon,relish,1
lemon,teff,1
lemon,rucola,1
lemon,speck,1
lemon,dragee,2
lemon,choy sum,1
lemon,kamaboko,1
lemon,za'atar,2
lemon,needle,1
lemon,wax,1
lemon,panch phoran,1
lemon,pierogi,1
lemon,muscadine,5
lemon,cole slaw,1
lemon,pawpaw,1
lemon,erythritol,1
lemon,bottarga,1
lemon,cassava,1
lemon,falafel,1
lemon,pandan,2
sugar,water,39774
sugar,butter,75335
sugar,corn,20102
sugar,cream,28565
sugar,extract,25532
sugar,gelatin,2082
sugar,ham,5344
sugar,milk,45531
sugar,rum,3228
sugar,salt,88226
sugar,egg,73194
sugar,flour,72564
sugar,margarine,14199
sugar,half,4139
sugar,cake,2357
sugar,powder,42834
sugar,vanilla,29679
sugar,anise,415
sugar,cardamom,808
sugar,cinnamon,23580
sugar,clove,7078
sugar,honey,5937
sugar,seed,7862
sugar,tea,1146
sugar,coffee,2633
sugar,apple,14802
sugar,carrot,6323
sugar,nut,35552
sugar,raisin,8524
sugar,sauce,22211
sugar,soda,30165
sugar,spice,6486
sugar,mix,2652
sugar,white,4524
sugar,paste,3358
sugar,cumin,3263
sugar,garlic,15086
sugar,ketchup,4106
sugar,molasse,3587
sugar,mustard,7431
